हेपेटाइटिस- बची तपासणी.	hepatitis- bachi tapasni.
वंगभंग चळवळ ही १६ ऑक्टोबर १९०५ रोजी लॉर्ड कर्झनने केलेल्या बंगालच्या फाळणीच्या विरोधात सुरू केलेली चळवळ होती.	vangabhanga calavala hi 16 octoberla 1905 roji lord karjhanane kelelya bangalachya phalanichya virodhat suru keleli calavala hoti.
यानंतर ते कादंबरी लिखाणाकडे वळले.	yanantar te kadambari likhanakade valale.
आकाशवाणीसाठी अनेक श्रुतिकांचे आणि करमणुकीच्या कार्यक्रमांच्या सादरीकरणाचे लेखन	akasavanisathi aneka shrutikanche ani karamanukichya karyakramanchya sadarikaranace lekhan
गोळी लागून रक्तस्राव होत असतानाही रूझवेल्टने आपले भाषण पूर्ण केले.	goli lagun raktashrava hot asatanahi rujhaveltane apale bhasana purna kele.
खुला रंगमंच	khula rangamancha
ओंकारेश्वर मंदिरामध्ये मात्र, कीर्तिमुख कळसामध्ये आहे.	onkaresvar mandiramadhye matra, kirtimukh kalasamadhye ahe.
त्या रामा एक ऐतिहासिक आकृती इ.	tya rama eka Eetihashika akurti i.
त्यात कोठेही कृत्रिमता किंवा नाटकीपणा नसतो, म्हणूनच त्यांचे वृत्तनिवेदन लोकांना आवडते.	tyat kothehi krutrimata kinva natakipana nasato, mhanunacha tyance vruttanivedan lokanna avadate.
यामुळे ते पीक पिवळे पडते, वांग्यांची वाढ होत नाही..	yamule te pika pivale padate, vangyanchi vadha hota nahi..
१९४७च्या भारत-पाकिस्तान युद्धाच्या पार्श्वभूमीवरदेखील, भारत सरकारचा फाळणी करारानुसार ठरलेले ५५ कोटी रूपये पाकिस्तानला न देण्याचा निर्णय त्यांना आवडला नाही.	1947cya bharat-pakistan yuddhacya parshvabhumivaradekhil, bharat sarakaracha phalani kararanusar tharalele 55 koti rupaye pakistanala na denyaca nirnaya tyanna avadala nahi.
अगदी लहान प्रमाणात कुक्कुटपालन,बकरीपालन सुध्दा ते करतात.	Agadi lahan pramanata kukkutapalan, bakaripalan suddha te karatat.
हे वनविभागाकडून जतन केलेली आहेत.	he vanavibhagakadun jatan keleli ahet.
२०१७ मध्ये बालानगर, धाकेफळ, मावसगव्हाण इत्यादी गावांमधील कोरडवाहू शेती उद्ध्वस्त झाली आहे.	2017 madhye balanagar, dhakephal, mavasagavhan ityadi gavammadhil koradavahu sheti uddhvasta jhali ahe.
हा सिद्धांत असे सांगतो की प्रत्येक कॉम्प्लेक्स बहुपदीस निदान एकतरी उकल असतेच.	ha siddhant ase sangato ki pratyek complex bahupadis nidan ekatari ukal asatecha.
तेव्हा संगमेश्वर तालुक्याचे मुख्यालय देवरुख या गावात हलविले आणि तालुक्याचे मुख्य ठिकाण देवरुख हे झाले.	tevha sangamesvar talukyache mukhyalay devarukha ya gavata halavile ani talukyache mukhya thikana devarukha he jhale.
कवीने बाबासाहेबांच्या असामान्यतेला संगणकीय प्रतिमांनी व्यक्त केले आहे.	kavine babasahebanchya asamanyatela sanganakiya pratimanni vyakt kele ahe.
चर्च फादर्स	church fathers
मायमराठी	maymarathi
'जाहिरात' या एकाच शब्दाभोवती ही दुनिया फिरताना दिसते.	jahirata' ya ekach sabdabhovati hi duniya phiratana disate.
खोतांनी राज्य सरकारकडे मुख्यमंत्री कोट्यातून घर मागितले होते.	khotanni rajya sarakarakade mukhyamantri kotyatuna ghar magitale hote.
त्यांच्या “उचाट” या कादंबरीस २०१४ चा साहित्य अकादमी पुरस्कार मिळाला.	tyancya "uchat" ya kadambaris 2014 ca sahitya akadami puraskar milala.
उत्तराखंड विधानसभा हे भारताच्या उत्तराखंड राज्याच्या विधिमंडळाचे एकमेव सभागृह एक आहे.	uttarakhandha vidhanasabha he bharatachya uttarakhanda rajyachya vidhimandalace ekameva sabhagruha eka ahe.
मराठी दिल्ली	marathi Delhi
तसेच कंधार येथे पुरातत्त्वीय उत्खनन करून तेथील क्षेत्रपालाच्या विशालकाय मूर्तीवर प्रकाशझोत टाकला.	tasech kandhar yethe puratattviy utkhanan karun tethila khsetrapalacya visalakay murtivar prakashajhota takala.
